Model,MRIP,Test Case,# of Waypoints,Error distance (Source),Error distance (FollowUp),Time to destination (Source),Time to destination (FollowUp),Balancing (Source),Balancing (FollowUp),Distance to the car Follow up,Distance to the car Source,Source exec time,Follow up exec time
purePursuitUSCity,MRIP1_1,1,51,2.067760555,2.022987756,43.47,40.09,1.127653386,1.136096758,31.6227766,31.6227766,26.530003,27.6910131
purePursuitUSCity,MRIP1_1,2,51,3.195163593,3.893029255,41.64,39.4,2.245076449,2.592273312,31.6227766,31.6227766,24.8073111,24.1216994
purePursuitUSCity,MRIP1_1,3,41,1.726995945,1.472035103,25.2,23.37,0.529474757,0.545356489,31.6227766,31.6227766,20.8609695,23.2056073
purePursuitUSCity,MRIP1_1,4,11,0.003602435,0.003602404,12.95,11.99,0,0,31.6227766,31.6227766,16.7338013,19.9301754
purePursuitUSCity,MRIP1_1,5,41,1.512141593,1.467828684,71.81,64.66,1.090740959,1.099861851,31.6227766,31.6227766,32.2619429,32.8946479
purePursuitUSCity,MRIP1_1,6,51,1.224356803,1.409146271,50.49,46.6,0.931513785,1.022159192,31.6227766,31.6227766,27.1780769,34.0085327
purePursuitUSCity,MRIP1_1,7,31,23.30765748,23.32369043,43.04,40.07,0.666838101,0.709436107,31.6227766,31.6227766,25.581743,27.7935765
purePursuitUSCity,MRIP1_1,8,52,0.21010341,0.280163453,8.98,8.41,0.118890502,0.124490922,31.6227766,31.6227766,15.7290581,18.5929638
purePursuitUSCity,MRIP1_1,9,51,1.432524993,1.435208981,79.33,73.03,1.189824528,1.192021404,31.6227766,31.6227766,33.3926677,34.8262852
purePursuitUSCity,MRIP1_1,10,31,1.774226191,1.781617884,47.83,43.36,0.377910709,0.38434849,31.6227766,31.6227766,26.6148595,28.4770796
purePursuitUSCity,MRIP1_1,11,51,11.50441615,14.38846056,42.44,39.86,1.956112605,2.226372456,31.6227766,31.6227766,25.5685746,28.1064814
purePursuitUSCity,MRIP1_1,12,32,0.205494277,0.175110372,28.33,25.94,0.06855509,0.072320128,31.6227766,31.6227766,21.3530765,24.2005089
purePursuitUSCity,MRIP1_1,13,11,0.000641298,0.000641001,2.86,2.86,3.0685E-08,1.09542E-13,31.6227766,31.6227766,14.4396708,17.1919405
purePursuitUSCity,MRIP1_1,14,61,0.023023053,0.023076214,52.62,48.48,3.49849E-13,5.85865E-06,31.6227766,31.6227766,27.3370778,29.346063
purePursuitUSCity,MRIP1_1,15,71,1.903555449,1.898313437,91.8,84.46,1.223935011,1.225098123,31.6227766,31.6227766,35.7469616,37.8245664
purePursuitUSCity,MRIP1_1,16,31,22.11892196,22.03314413,29.72,28.3,0.698779803,0.726305118,31.6227766,31.6227766,22.2282769,24.7698568
purePursuitUSCity,MRIP1_1,17,41,3.415909619,3.435922448,31.57,29.11,1.089282287,1.123564852,31.6227766,31.6227766,27.2797304,28.2726741
purePursuitUSCity,MRIP1_1,18,51,2.934734904,3.007497609,44.71,40.85,0.59131344,0.625948207,31.6227766,31.6227766,25.5844346,27.8659582
purePursuitUSCity,MRIP1_1,19,62,1.909069431,1.895765248,46.88,42.97,0.618997356,0.630394095,31.6227766,31.6227766,25.8390082,28.4488264
purePursuitUSCity,MRIP1_1,20,22,0.198460424,0.185108572,30.74,28.16,0.074903087,0.076278713,31.6227766,31.6227766,22.2729659,24.4708245
purePursuitUSCity,MRIP1_1,21,21,0.05386767,0.049105909,16.12,15.21,0.011928788,0.015491673,31.6227766,31.6227766,18.19612,20.8089445
purePursuitUSCity,MRIP1_1,22,51,0.977739257,0.982621203,54.7,50.33,0.803564532,0.832721506,31.6227766,31.6227766,28.2589547,29.9058231
purePursuitUSCity,MRIP1_1,23,41,1.699503881,1.549676956,24.89,23.03,0.508405817,0.525006896,31.6227766,31.6227766,20.7556795,23.1404339
purePursuitUSCity,MRIP1_1,24,71,3.401206125,3.429854387,50.75,46.81,1.251202389,1.322296939,31.6227766,31.6227766,27.2892427,29.1478655
purePursuitUSCity,MRIP1_1,25,61,2.382926582,2.31743266,95.91,87.86,0.351101147,0.350555937,31.6227766,31.6227766,37.0830595,38.336234
purePursuitUSCity,MRIP1_1,26,61,22.67082537,22.6852894,70.42,66.05,2.083972514,2.316152034,31.6227766,31.6227766,33.46146,30.3721564
purePursuitUSCity,MRIP1_1,27,22,1.682122176,1.624568879,26.15,23.58,0.753923327,0.765504871,31.6227766,31.6227766,20.7205423,23.6224387
purePursuitUSCity,MRIP1_1,28,51,1.404454351,1.275475403,47.58,44.7,1.290434892,1.347103834,31.6227766,31.6227766,29.9531574,29.7080372
purePursuitUSCity,MRIP1_1,29,51,1.88839504,1.690212919,52.13,47.87,1.163680696,1.23877064,31.6227766,31.6227766,27.1976295,26.8459455
purePursuitUSCity,MRIP1_1,30,62,1.295789973,1.333714877,86.25,80.33,1.312889512,1.336431329,31.6227766,31.6227766,35.1167953,37.1517288
purePursuitUSCity,MRIP1_1,31,11,0.00205399,0.002059138,6.85,6.57,2.56486E-13,3.21436E-10,31.6227766,31.6227766,15.2341313,18.4810821
purePursuitUSCity,MRIP1_1,32,62,3.359556462,3.477268355,36.56,35.72,0.618224289,0.636897018,31.6227766,31.6227766,24.3819861,27.098033
purePursuitUSCity,MRIP1_1,33,51,1.220992061,1.012193829,35.43,32.73,0.86775019,0.879877162,31.6227766,31.6227766,23.4671846,26.1205165
purePursuitUSCity,MRIP1_1,34,51,1.496518801,1.405590325,53.74,49.14,0.71662237,0.727002411,31.6227766,31.6227766,27.1552885,26.3762871
purePursuitUSCity,MRIP1_1,35,71,5.302684287,5.310828496,55.76,51.85,0.757596545,0.803488216,31.6227766,31.6227766,28.4415155,30.7216067
purePursuitUSCity,MRIP1_1,36,11,0.000638738,0.000637039,3.13,3.13,1.92033E-11,8.19463E-12,31.6227766,31.6227766,14.6774057,17.2422176
purePursuitUSCity,MRIP1_1,37,22,0.918886222,0.918885437,34.24,31.85,0.803244748,0.821517291,31.6227766,31.6227766,23.0923261,25.7625245
purePursuitUSCity,MRIP1_1,38,61,1.992888061,2.037289069,60.06,54.82,0.173532834,0.189262994,31.6227766,31.6227766,29.0349089,31.2592753
purePursuitUSCity,MRIP1_1,39,21,0.915827103,0.910268241,10.59,10.06,0.13509296,0.13546224,31.6227766,31.6227766,16.3429306,19.5072806
purePursuitUSCity,MRIP1_1,40,41,4.851860317,4.911847101,31.32,29.48,1.183073257,1.24368787,31.6227766,31.6227766,26.1006105,25.2342824
purePursuitUSCity,MRIP1_1,41,51,2.833139711,3.130534288,68.86,64.72,1.303086585,1.329851109,31.6227766,31.6227766,30.9089696,33.7966025
purePursuitUSCity,MRIP1_1,42,71,3.776392468,3.772631872,67.53,61.7,2.178034981,2.271331971,31.6227766,31.6227766,30.6488467,32.7934527
purePursuitUSCity,MRIP1_1,43,81,11.37313399,12.36655422,92.98,85.71,3.363923882,3.818911451,31.6227766,31.6227766,36.2323649,37.911714
purePursuitUSCity,MRIP1_1,44,11,0.000493288,0.000493832,2.38,2.38,1.22281E-08,3.40879E-10,31.6227766,31.6227766,14.674186,17.4363392
purePursuitUSCity,MRIP1_1,45,81,1.297145287,1.190402122,53.97,49.62,1.178077475,1.195103539,31.6227766,31.6227766,28.6196497,30.4095263
purePursuitUSCity,MRIP1_1,46,92,1.297394488,1.290733522,67.62,61.89,0.633192597,0.658295255,31.6227766,31.6227766,30.7974099,32.3930959
purePursuitUSCity,MRIP1_1,47,51,5.496905826,5.505407683,46.46,43.2,0.651474862,0.681612997,31.6227766,31.6227766,26.1159445,28.2478864
purePursuitUSCity,MRIP1_1,48,111,4.62596513,4.650512762,0,0,1.3270813,1.432695677,31.6227766,31.6227766,39.0781168,41.1209824
purePursuitUSCity,MRIP1_1,49,61,3.870472996,5.121919603,54.13,50.03,2.951411663,3.321148632,31.6227766,31.6227766,28.116432,29.9169492
purePursuitUSCity,MRIP1_1,50,72,5.553312409,49.01240431,61.41,57.12,1.720896185,4.902446305,31.6227766,31.6227766,31.7563053,46.3561769
purePursuitUSCity,MRIP1_1,51,21,0.004595539,0.004593856,15.33,14.74,2.1481E-11,1.01784E-06,31.6227766,31.6227766,17.7057479,21.0738658
purePursuitUSCity,MRIP1_1,52,61,1.775597105,1.770447614,58.65,53.95,0.866398294,0.887270982,31.6227766,31.6227766,30.2299737,32.9001344
purePursuitUSCity,MRIP1_1,53,31,4.49717497,4.483115622,38.95,35.5,0.428277666,0.431231524,31.6227766,31.6227766,25.207424,29.5069654
purePursuitUSCity,MRIP1_1,54,41,4.919201706,4.939218676,49.34,45.08,0.443477316,0.462504884,31.6227766,31.6227766,28.7275915,29.7764177
purePursuitUSCity,MRIP1_1,55,51,0.212649503,0.195902447,10.4,9.73,0.063010388,0.065348788,31.6227766,31.6227766,16.5670089,19.7855542
purePursuitUSCity,MRIP1_1,56,11,0.004504473,0.265741099,9.31,8.82,0,0,31.6227766,31.6227766,15.6688739,18.7129922
purePursuitUSCity,MRIP1_1,57,41,2.171940588,2.182609317,23.55,22.32,0.496056846,0.50049782,31.6227766,31.6227766,19.7042615,22.7084169
purePursuitUSCity,MRIP1_1,58,51,1.438525996,1.258431193,54.21,49.59,0.716619528,0.734392478,31.6227766,31.6227766,27.7037784,29.6105101
purePursuitUSCity,MRIP1_1,59,81,22.63218725,6.44971432,60.62,57.07,3.646968118,4.316014474,31.6227766,31.6227766,29.7021835,31.6882492
purePursuitUSCity,MRIP1_1,60,61,0.656741531,0.725117438,52.38,48.18,0.140759622,0.163276224,31.6227766,31.6227766,26.6066351,29.0551521
purePursuitUSCity,MRIP1_1,61,61,3.559850844,3.560984671,66.67,60.39,1.857536716,1.939792111,31.6227766,31.6227766,33.507697,30.034768
purePursuitUSCity,MRIP1_1,62,51,22.66128236,22.61552694,33.31,30.8,0.530572776,0.568961272,31.6227766,31.6227766,23.6591415,26.7457403
purePursuitUSCity,MRIP1_1,63,71,1.981331626,2.476749261,79.08,72.21,1.273687485,1.299238377,31.6227766,31.6227766,33.3378479,35.1419465
purePursuitUSCity,MRIP1_1,64,51,3.481709471,3.45534471,37.77,34.7,0.425407873,0.427928747,31.6227766,31.6227766,24.1953719,26.9344614
purePursuitUSCity,MRIP1_1,65,21,2.159440508,2.06107814,24.45,22.62,0.373001543,0.367715116,31.6227766,31.6227766,20.4206881,23.0097601
purePursuitUSCity,MRIP1_1,66,61,2.267216576,2.278514354,69.26,62.82,1.123401352,1.131496242,31.6227766,31.6227766,30.8637262,32.7208266
purePursuitUSCity,MRIP1_1,67,21,1.294907288,0.997591038,16.64,15.59,0.511866542,0.523451899,31.6227766,31.6227766,18.1216721,21.020713
purePursuitUSCity,MRIP1_1,68,112,4.056858424,3.991229564,58.63,53.84,0.815788603,0.825176866,31.6227766,31.6227766,28.7597228,30.8364315
purePursuitUSCity,MRIP1_1,69,11,0.005400989,0.005404136,15.05,13.99,2.2517E-11,3.68087E-10,31.6227766,31.6227766,17.6361008,20.1639202
purePursuitUSCity,MRIP1_1,70,52,20.4610692,19.36077061,54.39,52.41,2.839465404,2.964791374,31.6227766,31.6227766,32.1598072,33.8323703
purePursuitUSCity,MRIP1_1,71,11,0.06539235,0.074719661,20.27,19.82,0.030239901,0.027798429,31.6227766,31.6227766,19.3268592,22.2510637
purePursuitUSCity,MRIP1_1,72,51,4.917693487,4.865295633,44.81,41.62,1.231134523,1.264423794,31.6227766,31.6227766,26.115891,28.2536478
purePursuitUSCity,MRIP1_1,73,41,2.543891392,2.543792147,39.49,37.69,1.02665784,1.050840172,31.6227766,31.6227766,24.4159623,30.8558172
purePursuitUSCity,MRIP1_1,74,71,5.853610585,5.730311987,49.44,45.69,1.190925481,1.218985358,31.6227766,31.6227766,27.3603182,29.1764011
purePursuitUSCity,MRIP1_1,75,91,1.701208988,1.722431749,73.1,67.27,1.462994217,1.452461097,31.6227766,31.6227766,32.8034023,33.7155911
purePursuitUSCity,MRIP1_1,76,11,0.002059534,0.002059099,5.98,5.82,0.000705832,5.68897E-09,31.6227766,31.6227766,14.7641575,17.9189552
purePursuitUSCity,MRIP1_1,77,61,0.661535311,0.699259589,40.6,38.78,0.889443764,0.959572698,31.6227766,31.6227766,24.8578629,27.3111646
purePursuitUSCity,MRIP1_1,78,71,7.032034918,8.005236742,0,0,1.654473513,1.864576448,31.6227766,31.6227766,38.4572977,41.2486886
purePursuitUSCity,MRIP1_1,79,41,0.628480737,0.524601907,40.9,38.64,0.621218381,0.688491519,31.6227766,31.6227766,24.7696434,27.6705895
purePursuitUSCity,MRIP1_1,80,61,5.924529884,6.351025262,70.49,66.74,3.403600239,3.443239893,31.6227766,31.6227766,31.4201556,33.736815
purePursuitUSCity,MRIP1_1,81,62,1.283078097,1.284233,76.69,71.62,0.805582439,0.824515687,31.6227766,31.6227766,32.7399233,34.1390745
purePursuitUSCity,MRIP1_1,82,21,3.219443859,3.174825491,27.21,25.67,0.540470222,0.5438723,31.6227766,31.6227766,21.246834,24.0618967
purePursuitUSCity,MRIP1_1,83,82,5.458492055,5.458437435,61.01,56.72,1.547204064,1.6093076,31.6227766,31.6227766,34.742036,31.4126574
purePursuitUSCity,MRIP1_1,84,41,6.569286535,6.596000814,29.63,28.83,2.617412374,2.674272283,31.6227766,31.6227766,21.8939473,25.025192
purePursuitUSCity,MRIP1_1,85,41,2.070952239,1.953108316,36.67,34.14,0.724871972,0.724021412,31.6227766,31.6227766,23.8577448,23.5519659
purePursuitUSCity,MRIP1_1,86,31,4.311981288,4.247079158,24.5,23.27,1.191619232,1.276423327,31.6227766,31.6227766,20.2347582,23.8266965
purePursuitUSCity,MRIP1_1,87,31,1.146679873,1.07327593,41.58,38.04,0.389052173,0.399092585,31.6227766,31.6227766,25.1254091,24.0544394
purePursuitUSCity,MRIP1_1,88,11,0.353180017,0.160823499,15.73,15.06,0.036171819,0.023677026,31.6227766,31.6227766,17.9392273,21.3006894
purePursuitUSCity,MRIP1_1,89,62,5.498545361,5.498445083,41.34,38.41,1.306383797,1.439224901,31.6227766,31.6227766,25.0772983,27.1237775
purePursuitUSCity,MRIP1_1,90,31,1.307242909,1.29943481,43,40.01,0.851314442,0.857355815,31.6227766,31.6227766,25.1872462,27.4519021
purePursuitUSCity,MRIP1_1,91,71,1.76317951,1.725812357,59.98,55.06,1.023824479,1.072638633,31.6227766,31.6227766,29.5598441,31.2388052
purePursuitUSCity,MRIP1_1,92,71,1.368945111,1.372196862,0,0,0.946773964,1.118994686,31.6227766,31.6227766,37.4098796,37.7905153
purePursuitUSCity,MRIP1_1,93,71,5.737861084,6.147245247,77.67,73.46,1.925835908,2.030377561,31.6227766,31.6227766,33.1890054,32.4808279
purePursuitUSCity,MRIP1_1,94,11,0.004509433,0.004508226,13.95,12.91,0,0,31.6227766,31.6227766,17.2495137,19.8525411
purePursuitUSCity,MRIP1_1,95,71,22.64778224,22.56385639,96.31,90.59,2.355660721,2.39964679,31.6227766,31.6227766,37.1613057,43.4116138
purePursuitUSCity,MRIP1_1,96,31,0.018453878,0.016230348,39.05,35.83,0.005607796,0.007443841,31.6227766,31.6227766,24.6627355,26.8843325
purePursuitUSCity,MRIP1_1,97,81,1.291611775,1.295609797,60.56,55.86,1.672118969,1.688287736,31.6227766,31.6227766,30.467402,31.6195056
purePursuitUSCity,MRIP1_1,98,21,0.044280283,0.066150609,18.75,17.65,0.017304843,0.017680199,31.6227766,31.6227766,19.3880955,23.7872002
purePursuitUSCity,MRIP1_1,99,52,2.508083715,2.453502937,42.55,39.15,0.477506599,0.483860827,31.6227766,31.6227766,25.9926463,28.1236175
purePursuitUSCity,MRIP1_1,100,82,2.205812073,2.315098332,58.97,57.56,1.371956629,1.552632009,31.6227766,31.6227766,29.9839728,39.3462878
purePursuitUSCity,MRIP1_2,1,51,2.067760555,1.921140356,43.47,37.31,1.127653386,1.152362062,31.6227766,31.6227766,25.7783433,28.067394
purePursuitUSCity,MRIP1_2,2,51,3.195163593,4.518639468,41.64,37.9,2.245076449,2.88007018,31.6227766,31.6227766,24.7003637,24.0929204
purePursuitUSCity,MRIP1_2,3,41,1.726995945,1.264168895,25.2,22.11,0.529474757,0.572807934,31.6227766,31.6227766,21.000782,22.901187
purePursuitUSCity,MRIP1_2,4,11,0.003602435,0.003602116,12.95,11.2,0,0,31.6227766,31.6227766,16.8319619,19.5613348
purePursuitUSCity,MRIP1_2,5,41,1.512141593,1.443443347,71.81,59.14,1.090740959,1.11431322,31.6227766,31.6227766,33.2249609,32.1175801
purePursuitUSCity,MRIP1_2,6,51,1.224356803,1.763934204,50.49,43.47,0.931513785,1.12137212,31.6227766,31.6227766,26.7243775,32.1323615
purePursuitUSCity,MRIP1_2,7,31,23.30765748,23.36515556,43.04,37.26,0.666838101,0.738030042,31.6227766,31.6227766,26.1013493,27.4363702
purePursuitUSCity,MRIP1_2,8,52,0.21010341,0.343579205,8.98,7.95,0.118890502,0.12997936,31.6227766,31.6227766,16.5400519,18.563293
purePursuitUSCity,MRIP1_2,9,51,1.432524993,1.441109977,79.33,67.69,1.189824528,1.197198012,31.6227766,31.6227766,33.5465389,33.625034
purePursuitUSCity,MRIP1_2,10,31,1.774226191,1.762592714,47.83,39.4,0.377910709,0.396597664,31.6227766,31.6227766,26.2202016,27.664594
purePursuitUSCity,MRIP1_2,11,51,11.50441615,17.9295934,42.44,38.03,1.956112605,2.511716539,31.6227766,31.6227766,24.9509296,27.7574163
purePursuitUSCity,MRIP1_2,12,32,0.205494277,0.152659301,28.33,24.03,0.06855509,0.078340903,31.6227766,31.6227766,21.4261467,24.0663062
purePursuitUSCity,MRIP1_2,13,11,0.000641298,0.000641842,2.86,2.86,3.0685E-08,5.84736E-05,31.6227766,31.6227766,14.119789,17.1803537
purePursuitUSCity,MRIP1_2,14,61,0.023023053,0.023110217,52.62,45.04,3.49849E-13,8.79457E-06,31.6227766,31.6227766,26.7134024,28.7013564
purePursuitUSCity,MRIP1_2,15,71,1.903555449,1.900267275,91.8,78.4,1.223935011,1.241507806,31.6227766,31.6227766,33.1531215,35.7455231
purePursuitUSCity,MRIP1_2,16,31,22.11892196,22.05018242,29.72,27.17,0.698779803,0.754998034,31.6227766,31.6227766,19.3931609,22.3395731
purePursuitUSCity,MRIP1_2,17,41,3.415909619,3.429630416,31.57,27.66,1.089282287,1.186494156,31.6227766,31.6227766,24.9983256,22.6143102
purePursuitUSCity,MRIP1_2,18,51,2.934734904,3.071528921,44.71,36.81,0.59131344,0.698850229,31.6227766,31.6227766,22.9947883,24.6158081
purePursuitUSCity,MRIP1_2,19,62,1.909069431,1.754650033,46.88,39.76,0.618997356,0.640106374,31.6227766,31.6227766,24.8941961,25.2063955
purePursuitUSCity,MRIP1_2,20,22,0.198460424,0.172633413,30.74,26.02,0.074903087,0.079630775,31.6227766,31.6227766,19.4769861,21.8690178
purePursuitUSCity,MRIP1_2,21,21,0.05386767,0.044220117,16.12,14.48,0.011928788,0.018079556,31.6227766,31.6227766,15.6939934,18.4411148
purePursuitUSCity,MRIP1_2,22,51,0.977739257,0.988213215,54.7,46.52,0.803564532,0.875365386,31.6227766,31.6227766,25.3501418,26.7430432
purePursuitUSCity,MRIP1_2,23,41,1.699503881,1.358337143,24.89,21.5,0.508405817,0.542514187,31.6227766,31.6227766,18.5769802,20.4764968
purePursuitUSCity,MRIP1_2,24,71,3.401206125,3.416164884,50.75,44.03,1.251202389,1.40125015,31.6227766,31.6227766,25.223599,26.1397505
purePursuitUSCity,MRIP1_2,25,61,2.382926582,2.263618112,95.91,81.31,0.351101147,0.34914528,31.6227766,31.6227766,33.9961812,34.5464383
purePursuitUSCity,MRIP1_2,26,61,22.67082537,22.67972122,70.42,61.89,2.083972514,2.553152728,31.6227766,31.6227766,28.9995935,27.1485907
purePursuitUSCity,MRIP1_2,27,22,1.682122176,1.438417386,26.15,21.74,0.753923327,0.76909544,31.6227766,31.6227766,18.5327753,20.4105904
purePursuitUSCity,MRIP1_2,28,51,1.404454351,1.085303583,47.58,42.66,1.290434892,1.446620905,31.6227766,31.6227766,23.8584725,25.7563981
purePursuitUSCity,MRIP1_2,29,51,1.88839504,1.51489124,52.13,44.5,1.163680696,1.280853643,31.6227766,31.6227766,24.438991,23.0466364
purePursuitUSCity,MRIP1_2,30,62,1.295789973,1.274643687,86.25,74.98,1.312889512,1.336864925,31.6227766,31.6227766,32.0581065,37.2802426
purePursuitUSCity,MRIP1_2,31,11,0.00205399,0.002056234,6.85,6.36,2.56486E-13,7.08105E-12,31.6227766,31.6227766,13.0451765,16.4625338
purePursuitUSCity,MRIP1_2,32,62,3.359556462,3.411286622,36.56,34.84,0.618224289,0.645532811,31.6227766,31.6227766,21.5490633,24.0897052
purePursuitUSCity,MRIP1_2,33,51,1.220992061,1.057239752,35.43,30.71,0.86775019,0.883491355,31.6227766,31.6227766,20.8260636,22.8876217
purePursuitUSCity,MRIP1_2,34,51,1.496518801,1.366830771,53.74,45.47,0.71662237,0.730714416,31.6227766,31.6227766,24.8914811,23.4059085
purePursuitUSCity,MRIP1_2,35,71,5.302684287,5.346173689,55.76,48.97,0.757596545,0.877069403,31.6227766,31.6227766,25.7834433,27.1112048
purePursuitUSCity,MRIP1_2,36,11,0.000638738,0.000641621,3.13,3.12,1.92033E-11,1.24725E-10,31.6227766,31.6227766,12.0530438,15.4671201
purePursuitUSCity,MRIP1_2,37,22,0.918886222,0.961342303,34.24,29.74,0.803244748,0.829322429,31.6227766,31.6227766,20.8041276,22.6989576
purePursuitUSCity,MRIP1_2,38,61,1.992888061,2.017839077,60.06,50.48,0.173532834,0.206506431,31.6227766,31.6227766,26.4462857,27.4057077
purePursuitUSCity,MRIP1_2,39,21,0.915827103,0.898716844,10.59,9.65,0.13509296,0.136427628,31.6227766,31.6227766,14.1352655,17.2427979
purePursuitUSCity,MRIP1_2,40,41,4.851860317,4.933988923,31.32,28.17,1.183073257,1.327406988,31.6227766,31.6227766,20.1709401,22.4042885
purePursuitUSCity,MRIP1_2,41,51,2.833139711,2.640630843,68.86,61.19,1.303086585,1.351914968,31.6227766,31.6227766,28.9763194,30.3915927
purePursuitUSCity,MRIP1_2,42,71,3.776392468,3.746274606,67.53,56.52,2.178034981,2.358375586,31.6227766,31.6227766,28.5894211,28.992787
purePursuitUSCity,MRIP1_2,43,81,11.37313399,12.78115246,92.98,79.99,3.363923882,4.26079053,31.6227766,31.6227766,33.9157087,37.5527308
purePursuitUSCity,MRIP1_2,44,11,0.000493288,0.000488017,2.38,2.38,1.22281E-08,1.30276E-05,31.6227766,31.6227766,11.9185273,15.2066816
purePursuitUSCity,MRIP1_2,45,81,1.297145287,1.175459145,53.97,46.07,1.178077475,1.228130179,31.6227766,31.6227766,25.4179892,26.3885819
purePursuitUSCity,MRIP1_2,46,92,1.297394488,1.208580274,67.62,57.18,0.633192597,0.688514467,31.6227766,31.6227766,28.6425696,29.0346763
purePursuitUSCity,MRIP1_2,47,51,5.496905826,5.498672661,46.46,40.43,0.651474862,0.717799738,31.6227766,31.6227766,23.7692323,25.7172293
