Model,MRIP,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,MRIP1_1,1,31,4.19173153,41.74,1.160702162,31.6227766,16.8527055
purePursuitUSCity,MRIP1_1,2,51,4.096318865,25.02,1.307195279,31.6227766,12.6343559
purePursuitUSCity,MRIP1_1,3,52,0.139713507,26.24,0.085277397,31.6227766,12.7496552
purePursuitUSCity,MRIP1_1,4,71,3.439081712,63.35,2.109998711,31.6227766,18.8043343
purePursuitUSCity,MRIP1_1,5,21,0.091034047,13.63,0.026074511,31.6227766,10.4247901
purePursuitUSCity,MRIP1_1,6,51,1.606257366,68.7,1.099947089,31.6227766,19.4997497
purePursuitUSCity,MRIP1_1,7,51,22.6620394,52.98,1.626341617,31.6227766,11.6762057
purePursuitUSCity,MRIP1_1,8,31,0.023127759,41.82,0,31.6227766,14.7946138
purePursuitUSCity,MRIP1_1,9,11,0.000755294,5.05,1.00681E-07,31.6227766,8.871331
purePursuitUSCity,MRIP1_1,10,51,2.214008527,60.36,0.822597329,31.6227766,18.4730592
purePursuitUSCity,MRIP1_1,11,51,1.463505991,67.88,1.284263593,31.6227766,13.9138477
purePursuitUSCity,MRIP1_1,12,21,2.205370426,7.17,0.255019105,31.6227766,9.2642309
purePursuitUSCity,MRIP1_1,13,31,1.297356338,39.94,0.776532335,31.6227766,14.8606824
purePursuitUSCity,MRIP1_1,14,52,1.147901469,44.7,0.813100605,31.6227766,15.7623686
purePursuitUSCity,MRIP1_1,15,51,3.756463495,72.43,0.449937777,31.6227766,20.5353877
purePursuitUSCity,MRIP1_1,16,31,0.292884141,4.84,0.076009862,31.6227766,8.9904673
purePursuitUSCity,MRIP1_1,17,31,1.135035733,30.06,0.442105607,31.6227766,7.6272904
purePursuitUSCity,MRIP1_1,18,81,3.904854161,71.84,2.931151701,31.6227766,20.4913726
purePursuitUSCity,MRIP1_1,19,71,3.678643163,57.25,1.180184491,31.6227766,18.0163077
purePursuitUSCity,MRIP1_1,20,71,1.105912026,73.61,1.027046929,31.6227766,14.8344985
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,1,31,21.65586442,27.47,214.782627,31.6227766,178.9941491
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,2,51,1.438586688,4.41,0.21471998,31.6227766,9.1756591
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,3,52,0.205568525,25.03,0.094955852,31.6227766,12.5764433
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,4,71,5.333763851,64.24,2.935444959,31.6227766,19.2363371
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,5,21,0.107373603,12.55,0.021169461,31.6227766,10.413291
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,6,51,1.394085013,63.84,1.3807872,31.6227766,18.8939245
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,7,51,22.64868666,46.57,2.966999606,31.6227766,10.3774447
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,8,31,0.023127759,35.36,0,31.6227766,13.9421715
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,9,11,0.000748172,2.45,2.44249E-14,31.6227766,8.5858158
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,10,51,0.670575704,49.16,0.969380697,31.6227766,16.6039483
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,11,51,1.394936115,63.94,1.489279,31.6227766,13.3022959
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,12,21,1.123828781,5.41,0.140088938,31.6227766,9.2567898
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,13,31,2.457817258,37.3,1.068318104,31.6227766,14.5596893
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,14,52,2.722214265,43.62,1.130909561,31.6227766,15.78553
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,15,51,9.061255849,54.56,0.722048286,31.6227766,17.4017369
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,16,31,0.483337561,3.82,0.07046129,31.6227766,8.9903648
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,17,31,3.489931011,18.45,1.077474268,31.6227766,5.6493544
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,18,81,17.32573736,59.36,7.979937917,31.6227766,18.5336981
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,19,71,3.811205938,49.42,1.760697471,31.6227766,16.6531007
Mutant_1_1_of_purePursuitUSCity,MRIP1_1,20,71,3.620317596,62.38,2.260507279,31.6227766,12.8723795
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,1,31,8.215080342,63.87,1.814777569,31.6227766,17.021847
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,2,51,4.761741404,51.17,1.256296629,31.6227766,13.7899818
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,3,52,0.313578225,65.54,0.134971691,31.6227766,16.4032962
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,4,71,3.428821158,633.48,2.1381951,31.6227766,116.1973569
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,5,21,0.018485962,60.95,0.005469407,31.6227766,15.3267465
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,6,51,1.593242773,144.97,1.21858989,31.6227766,30.2565342
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,7,51,22.68504303,452.08,1.630694747,31.6227766,82.8318862
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,8,31,0.023150972,64.82,0,31.6227766,15.6355565
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,9,11,0.000756682,2.87,0,31.6227766,5.1607146
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,10,51,1.534908994,346.5,0.938372948,31.6227766,67.4499477
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,11,51,1.427116466,108.1,1.331843359,31.6227766,21.4569069
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,12,21,0.008104584,39.68,0.039527919,31.6227766,11.6365411
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,13,31,1.211280132,71.93,0.780054999,31.6227766,17.5445583
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,14,52,1.222501874,194.12,0.794300026,31.6227766,38.8441975
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,15,51,3.744637691,427.56,0.587190212,31.6227766,80.8936603
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,16,31,0.277540786,12.5,0.0352333,31.6227766,7.0625554
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,17,31,2.181291981,59.68,0.575363362,31.6227766,13.0618222
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,18,81,4.845320758,156.61,2.484064122,31.6227766,32.6966762
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,19,71,3.687272362,210.82,1.130542279,31.6227766,42.2227163
Mutant_2_1_of_purePursuitUSCity,MRIP1_1,20,71,1.050884236,172.77,1.070450504,31.6227766,32.8024473
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,1,31,4.19173153,41.02,1.157686057,31.6227766,13.0782051
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,2,51,1.084033879,4.68,0.131950479,31.6227766,5.5565415
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,3,52,0.139713507,25.46,0.084489256,31.6227766,9.2370169
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,4,71,3.439081712,62.41,2.109771919,31.6227766,15.5522986
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,5,21,0.724234484,12.65,0.026614042,31.6227766,7.0074972
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,6,51,1.606257366,66.74,1.099946619,31.6227766,16.2105398
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,7,51,22.59784285,157.21,1.597333504,31.6227766,29.954379
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,8,31,0.002805765,99999,6.97905E-07,31.6227766,181.9937058
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,9,11,0.00073619,2.44,7.69755E-15,31.6227766,5.1617629
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,10,51,2.214008527,57.81,0.819152973,31.6227766,14.8745557
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,11,51,1.463505991,65.97,1.280900643,31.6227766,13.9199308
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,12,21,0.068975475,5.41,0.031838261,31.6227766,5.6483099
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,13,31,1.297356338,39.17,0.776505467,31.6227766,11.6294118
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,14,52,1.147901469,43.88,0.807228003,31.6227766,12.3423667
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,15,51,3.756463495,65.17,0.441487034,31.6227766,15.872049
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,16,31,0.287856264,3.96,0.062066896,31.6227766,5.4857016
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,17,31,1.135035733,29.13,0.441060114,31.6227766,7.3998945
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,18,81,3.904854161,70.87,2.919466977,31.6227766,17.2316773
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,19,71,3.678643163,55.75,1.178800612,31.6227766,14.4274216
Mutant_3_1_of_purePursuitUSCity,MRIP1_1,20,71,1.105912026,65.65,1.0236347,31.6227766,13.7571242
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,1,31,22.45034576,27,214.821008,31.6227766,174.7704804
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,2,51,2.017575488,4.23,0.224277328,31.6227766,5.5930849
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,3,52,14.34930571,12.43,1.323921669,31.6227766,7.6801619
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,4,71,46.57188024,62.24,85.18149968,31.6227766,178.3532316
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,5,21,41.69209112,9.28,2.881810957,31.6227766,10.3767149
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,6,51,36.02444962,41.71,100.6353774,31.6227766,172.3901372
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,7,51,22.53364849,43.88,8.252837155,31.6227766,14.5115504
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,8,31,1.130914792,17.36,0,31.6227766,7.8203929
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,8,31,1.130914792,17.36,0,31.6227766,5.4148586
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,9,11,0.64069738,2.32,6.7772E-12,31.6227766,5.2554631
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,10,51,13.98412813,32.96,2.284857563,31.6227766,11.6853348
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,11,51,13.49189057,50.8,2.915062831,31.6227766,11.2664905
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,12,21,1.648717946,4.74,0.193340047,31.6227766,5.6548736
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,13,31,45.12565698,27.23,100.4408497,31.6227766,177.7813366
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,14,52,18.32143791,104.4,2.759600752,31.6227766,23.1816024
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,15,51,10.71068198,26.26,0.75511267,31.6227766,9.3279859
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,16,31,0.484036795,3.83,0.093589307,31.6227766,5.4679192
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,17,31,14.92478844,14.78,1.54955055,31.6227766,5.0912845
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,18,81,13.01168149,54.88,229.3340691,31.6227766,179.5585929
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,19,71,14.92156619,125.2,3.183854715,31.6227766,26.9475954
Mutant_4_1_of_purePursuitUSCity,MRIP1_1,20,71,34.99308133,36.51,123.3380766,31.6227766,173.9162268
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,1,31,4.19173153,41.02,1.157738201,31.6227766,10.6924693
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,2,51,1.084033879,4.68,0.131950479,31.6227766,5.5888208
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,3,52,0.139713507,25.46,0.084484278,31.6227766,9.190112
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,4,71,3.439081712,62.41,2.109771921,31.6227766,15.4839644
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,5,21,0.091034047,12.65,0.019709103,31.6227766,6.9090746
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,6,51,1.606257366,66.74,1.099946619,31.6227766,16.0650433
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,7,51,22.6620394,48.68,1.623328364,31.6227766,10.8024562
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,8,31,0.023127759,35.36,0,31.6227766,10.4181233
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,9,11,0.000748172,2.45,2.45729E-14,31.6227766,5.1393958
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,10,51,2.214008527,57.81,0.819150993,31.6227766,14.6717577
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,11,51,1.463505991,65.98,1.280894273,31.6227766,13.7410036
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,12,21,0.082891784,5.41,0.033745077,31.6227766,5.5886998
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,13,31,1.297356338,39.17,0.776505394,31.6227766,11.6233058
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,14,52,1.147901469,43.88,0.807208551,31.6227766,12.2471345
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,15,51,3.756463495,65.29,0.438753752,31.6227766,15.7738417
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,16,31,0.292884141,3.96,0.057043051,31.6227766,5.4297661
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,17,31,1.135035733,29.13,0.441060114,31.6227766,7.5192852
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,18,81,3.904854161,70.87,2.902417726,31.6227766,16.9601356
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,19,71,3.678643163,55.75,1.178846046,31.6227766,14.2170613
Mutant_5_1_of_purePursuitUSCity,MRIP1_1,20,71,1.105912026,65.7,1.022436394,31.6227766,13.4065509
